River ID,River name,Latitude,Longitude,Country,Region,Continent,Ocean Basin,"Monthly discharge (Qm) 
(m3/s)",interannual mean discharge (Qa=ΣQm / 12) (m3/s),enviromental discharge (Qe=Qa*0.3) (m3/s),Extraction Factor (EF),"Design flow  (Qd=Qa*EF) 
(m3/s)","Extractable discharge (Qex_m) (m3/s)
Extractable discharge depends on the monthly discharge (Qm), the environmental discharge (Qe), and the design flow (Qd).","Actual extractable water volume per year (Qreal=ΣQex_m) 
(m3/s)","Capacity factor (CF=Qreal/Qideal) 
(%)"
1,Amazon,0.682429482753352,-50.2294586645064,Brazil,South America,South America,North Atlantic Ocean,164117.08,195080.61750000002,58524.18525,28.0,54622.572900000014,54622.574,655470.8880000002,100.00000201381947
2,Congo,-6.07873677468801,12.3953825348203,Angola,Middle Africa,Africa,South Atlantic Ocean,47804.82,39919.93041666666,11975.979124999998,46.0,18363.167991666665,18363.17,220358.03999999992,100.00001093674756
3,Orinoco,8.61943089378377,-60.7160208507744,Venezuela,South America,South America,North Atlantic Ocean,13188.122,31163.40393333333,9349.02118,72.0,22437.650832,3839.1006,160824.7566,59.7302415941259
4,Changjiang,30.2720754996086,120.798675074388,China,Eastern Asia,Asia,North Pacific Ocean,9879.6875,27464.773625,8239.4320875,5.0,1373.2386812500001,1373.2386,16478.863200000003,99.99999408333008
5,Brahmaputra,22.4103020412775,91.0758866414137,Bangladesh,Southern Asia,Asia,Indian Ocean,6100.2915,20055.471375,6016.6414125,67.0,13437.16582125,83.650391,89019.88649100001,55.20750411904872
6,Mississippi,29.148376334599,-89.2489751148148,United States,Northern America,North America,North Atlantic Ocean,18628.621,17391.135766666666,5217.34073,20.0,3478.2271533333333,3478.2271,41738.7252,99.9999984666518
7,Yenisey,70.9631889733935,83.2845148467182,Russia,Asiatic Russia,Asia,Arctic Ocean,6836.1479,18621.167883333335,5586.350365,5.0,931.0583941666669,931.05829,11172.699480000003,99.99998881201574
8,Parana,-34.3244237795752,-58.4795004150491,Argentina,South America,South America,South Atlantic Ocean,15655.203,15861.709666666668,4758.5129,53.0,8406.706123333333,8406.7051,100880.46119999996,99.99998782717843
9,Lena,72.5589989838854,129.233409675682,Russia,Asiatic Russia,Asia,Arctic Ocean,3062.7576,16979.744208333334,5093.9232624999995,100.0,16979.744208333334,0,79890.41489999999,39.20868591019532
10,Mekong,9.81997191933899,106.517623304697,Vietnam,Southeastern Asia,Asia,South China and Easter Archipelagic Seas,2793.1201,10096.416783333334,3028.925035,58.0,5855.921734333333,0,35519.126800000005,50.545881034906046
11,Tocantins,-1.53968507607143,-48.87838848566,Brazil,South America,South America,South Atlantic Ocean,13302.817,10677.527566666666,3203.25827,2.0,213.55055133333332,213.55055,2562.6065999999996,99.99999937563572
12,Ob,66.4530326843283,71.0050406517122,Russia,Asiatic Russia,Asia,Arctic Ocean,4878.6313,12851.319841666666,3855.3959524999996,13.0,1670.6715794166666,1023.2354,14682.430469999998,73.23616966820077
13,Ganges (Ganga),21.9543860598704,89.514307285256,Bangladesh,Southern Asia,Asia,Indian Ocean,2802.7415,11858.400116666664,3557.520034999999,26.0,3083.184030333333,0,16010.947069999998,43.274925403087835
14,Irrawaddy (Ayey,15.8264715960959,95.0916052783884,Myanmar,Southeastern Asia,Asia,Indian Ocean,2526.0557,8136.959266666666,2441.08778,13.0,1057.8047046666666,84.968018,9546.233008,75.20475318589321
15,St Lawrence,49.104303522315,-67.548168188021,Canada,Northern America,North America,North Atlantic Ocean,7742.1392,9032.495433333333,2709.74863,55.0,4967.872488333333,4967.8721,59614.4652,99.99999218310587
16,Amur,52.9908836903171,141.019759255177,Russia,Asiatic Russia,Asia,North Pacific Ocean,1841.8606,10083.3278,3024.9983399999996,100.0,10083.3278,0,64192.39649999999,53.05159646798351
17,Mackenzie,69.3474770685121,-135.58562551451,Canada,Northern America,North America,Arctic Ocean,4122.2432,9091.477574999999,2727.4432724999997,7.0,636.40343025,636.40344,7636.841280000001,100.00000153204705
18,Xijiang,22.0727518438016,113.467937003929,China,Eastern Asia,Asia,South China and Easter Archipelagic Seas,1746.3829,6924.272208333335,2077.2816625000005,22.0,1523.3398858333337,0,12457.745219999997,68.14929778012664
19,Columbia,46.2428671658079,-123.970962842188,United States,Northern America,North America,North Pacific Ocean,5404.4692,6130.262291666667,1839.0786875000001,25.0,1532.5655729166667,1532.5656,18390.7872,100.00000176718919
20,Magdalena,11.097718487471,-74.8485267492985,Colombia,South America,South America,North Atlantic Ocean,5308.9263,7129.682616666666,2138.9047849999997,29.0,2067.607958833333,2067.6079,24811.294799999992,99.9999971545218
21,Uruguay (Urugua,-34.152295903045,-58.3002048920882,Argentina,South America,South America,South Atlantic Ocean,3729.4165,5519.503,1655.8509,37.0,2042.2161099999998,2042.2163,24506.5956,100.0000093036187
22,Yukon,62.5813761298509,-164.93310931307,United States,Northern America,North America,North Pacific Ocean,1734.5546,6424.923966666665,1927.4771899999996,100.0,6424.923966666665,0,39275.15150000001,50.941136558923446
23,Atrato,8.06987792814051,-76.922673590421,Colombia,South America,South America,North Atlantic Ocean,1640.2916,1767.8619583333336,530.3585875000001,41.0,724.8234029166667,724.82336,8697.880320000002,99.99999407901755
24,Danube,45.2195858860877,29.7506943868355,Ukraine,Eastern Europe,Europe,Mediterranean Region,6043.2119,6496.510325,1948.9530975,40.0,2598.60413,2598.604,31183.247999999996,99.99999499731416
25,Niger (Issa Ber,4.29477640123507,6.07568879938496,Nigeria,Western Africa,Africa,North Atlantic Ocean,4197.5557,6844.8591916666655,2053.4577574999994,1.0,68.44859191666666,68.448586,821.3830319999998,99.99999135604327
26,Ogooué,-1.02747728029678,8.89023055986157,Gabon,Middle Africa,Africa,South Atlantic Ocean,4756.9761,4688.698416666666,1406.6095249999998,11.0,515.7568258333333,515.75684,6189.08208,100.0000027467725
