River ID,River name,Latitude,Longitude,Country,Region,Continent,Ocean Basin,"Monthly discharge (Qm) 
(m3/s)",interannual mean discharge (Qa=ΣQm / 12) (m3/s),enviromental discharge (Qe=Qa*0.3) (m3/s),Extraction Factor (EF),"Design flow  (Qd=Qa*EF) 
(m3/s)","Extractable discharge (Qex_m) (m3/s)
Extractable discharge depends on the monthly discharge (Qm), the environmental discharge (Qe), and the design flow (Qd).","Actual extractable water volume per year (Qreal=ΣQex_m) 
(m3/s)","Capacity factor (CF=Qreal/Qideal) 
(%)",Jan_Pot,Feb_Pot,Mar_Pot,Apr_Pot,May_Pot,Jun_Pot,Jul_Pot,Aug_Pot,Sep_Pot,Oct_Pot,Nov_Pot,Dec_Pot
1,Amazon,0.682429482753352,-50.2294586645064,Brazil,South America,South America,North Atlantic Ocean,164117.08,195080.6175,58524.18525,28.0,54622.572900000014,54622.574,655470.8880000002,100.00000201381948,299901.81199903565,363405.3391440784,428467.62724436243,474947.1692886221,502151.60932111426,508475.66754288995,486851.1107900678,434868.20825485955,349328.35204573534,268242.7237976047,254938.9384774955,291926.08665065526
2,Congo,-6.07873677468801,12.3953825348203,Angola,Middle Africa,Africa,South Atlantic Ocean,47804.82,39919.93041666666,11975.979124999998,46.0,18363.167991666665,18363.17,220358.03999999992,100.00001093674756,85900.7110142647,69585.17795170205,66183.16379830941,73429.22928888926,82845.5990516334,79387.71868121567,69499.01637907345,67519.37301450336,75941.75705195554,88001.47603809227,107796.28286261733,115671.70696534598
3,Orinoco,8.61943089378377,-60.7160208507744,Venezuela,South America,South America,North Atlantic Ocean,13188.122,31163.40393333333,9349.02118,72.0,22437.650832,3839.1006,160824.7566,59.7302415941259,23639.174772490034,17777.14379989481,14713.740154738305,18336.247389896344,38748.15807028894,65338.26706385737,100192.68032690737,116870.59598405148,120476.74549411815,97396.39807422017,67210.40105160158,45409.622754705066
4,Changjiang,30.2720754996086,120.798675074388,China,Eastern Asia,Asia,North Pacific Ocean,9879.6875,27464.773625,8239.4320875,5.0,1373.23868125,1373.2386,16478.863200000003,99.99999408333008,16632.447832199552,19206.845839178066,27525.311359142306,39410.31237944926,58635.21673920254,72129.51893011511,84440.73044196697,87221.0419252028,75020.29110056446,62049.3146909401,42846.198316942464,23643.324921685315
5,Brahmaputra,22.4103020412775,91.0758866414137,Bangladesh,Southern Asia,Asia,Indian Ocean,6100.2915,20055.471375,6016.6414125,67.0,13437.16582125,83.650391,89019.88649100001,55.20750411904872,10164.173681668399,8019.405977390706,7544.490619770846,10827.827805415927,19077.910338318587,36245.10866252971,60612.32514815904,81553.61538829056,74767.15083468064,65245.04783901911,41785.305052826945,17832.585770825986
6,Mississippi,29.148376334599,-89.2489751148148,United States,Northern America,North America,North Atlantic Ocean,18628.621,17391.135766666666,5217.34073,20.0,3478.2271533333333,3478.2271,41738.7252,99.9999984666518,35019.848261277584,39168.9551125924,44163.52470016081,50981.29560069811,49600.09074070842,36556.72485798,28041.071484451753,19089.002023236666,17287.310990934697,18462.087903972933,21589.184289990368,30153.578298668373
7,Yenisey,70.9631889733935,83.2845148467182,Russia,Asiatic Russia,Asia,Arctic Ocean,6836.1479,18621.16788333333,5586.350365,5.0,931.0583941666667,931.05829,11172.699480000005,99.99998881201574,13478.355562468787,12042.936378386628,12206.642874031346,12016.368151617438,52024.21749069939,131080.33078425014,51311.62222235385,33766.01204501471,33598.155046230015,27328.11060509446,13763.513208479382,11431.746246343448
8,Parana,-34.3244237795752,-58.4795004150491,Argentina,South America,South America,South Atlantic Ocean,15655.203,15861.709666666668,4758.5129,53.0,8406.706123333333,8406.7051,100880.46119999996,99.99998782717844,29364.910263966234,33110.31219697022,34913.66994990458,33090.400611880905,33123.9265972406,33576.46854431698,33389.75280840546,29282.328747986325,26958.68924371301,27976.195703198267,26876.292698764024,28486.466698065025
9,Lena,72.5589989838854,129.233409675682,Russia,Asiatic Russia,Asia,Arctic Ocean,3062.7576,16979.744208333334,5093.9232625,100.0,16979.744208333334,0.0,79890.41489999999,39.20868591019532,5498.389787679129,4201.987663451576,3600.3844355588667,2894.29448125033,13934.96999064944,139512.22228714093,73579.30931476319,49802.345291355494,44845.52030911488,26689.496144844034,6576.438501023901,5615.596366516336
10,Mekong,9.81997191933899,106.517623304697,Vietnam,Southeastern Asia,Asia,South China and Easter Archipelagic Seas,2793.1201,10096.416783333334,3028.925035,58.0,5855.921734333333,0.0,35519.126800000005,50.545881034906046,5670.462265735526,4439.9958377355015,3700.5328415187287,3606.56206005455,5729.363121478635,17559.106389682413,31543.36528159747,49729.84709960585,50670.20310179284,29470.286585521717,15785.548296767685,8428.473598673216
